Date,Close,Volumen
20/01/2015,2.5,13491
21/01/2015,2.5,3509
22/01/2015,2.5,2764
23/01/2015,2.5,7264
26/01/2015,2.5,33000
27/01/2015,2.5,3489
28/01/2015,2.5,5533
29/01/2015,2.47,7967
30/01/2015,2.5,1949
02/02/2015,2.43,19995
03/02/2015,2.4,21165
04/02/2015,2.4,15108
05/02/2015,2.3,8792
06/02/2015,2.3,12056
09/02/2015,2.3,6358
10/02/2015,2.3,12121
11/02/2015,2.3,5818
12/02/2015,2.3,13179
13/02/2015,2.35,12379
16/02/2015,2.35,5938
17/02/2015,2.35,2125
18/02/2015,2.4,5379
19/02/2015,2.49,14867
20/02/2015,2.5,5524
23/02/2015,2.5,2500
24/02/2015,2.45,1650
25/02/2015,2.5,4880
26/02/2015,2.48,2796
27/02/2015,2.47,1917
02/03/2015,2.43,2575
03/03/2015,2.4,13122
04/03/2015,2.4,3033
05/03/2015,2.4,2000
06/03/2015,2.4,2715
09/03/2015,2.4,4435
10/03/2015,2.4,2834
11/03/2015,2.3,11593
12/03/2015,2.3,22333
13/03/2015,2.2,38358
16/03/2015,2.3,5872
17/03/2015,2.3,3500
18/03/2015,2.3,1770
19/03/2015,2.3,1770
20/03/2015,2.3,2000
23/03/2015,2.29,1800
24/03/2015,2.1,6980
25/03/2015,2.1,45983
26/03/2015,2,14235
27/03/2015,2,17655
30/03/2015,2.08,10107
31/03/2015,2.08,9000
01/04/2015,2.15,2700
06/04/2015,2.15,2000
07/04/2015,2.15,2159
08/04/2015,2.15,2000
09/04/2015,2.1,3700
10/04/2015,2,10300
13/04/2015,2,5033
14/04/2015,2,3300
15/04/2015,2,2000
16/04/2015,1.95,4980
17/04/2015,1.95,9636
20/04/2015,1.95,2000
21/04/2015,1.93,2450
22/04/2015,1.89,2250
23/04/2015,1.99,41838
24/04/2015,2,6713
27/04/2015,2.02,8971
28/04/2015,2.02,10431
29/04/2015,2.02,2759
30/04/2015,2,13225
04/05/2015,1.98,14193
05/05/2015,2,6300
06/05/2015,2,11820
07/05/2015,2.02,11496
08/05/2015,1.98,6738
11/05/2015,2.05,3995
12/05/2015,2.06,3249
13/05/2015,2.02,3726
14/05/2015,2.05,3506
15/05/2015,2.05,4246
18/05/2015,2.05,3847
19/05/2015,2,5000
20/05/2015,2,8972
21/05/2015,2,6285
22/05/2015,2,5566
25/05/2015,2,3810
26/05/2015,2,6077
27/05/2015,2,12947
28/05/2015,1.98,3500
29/05/2015,1.98,2548
01/06/2015,2,2517
02/06/2015,2,4028
03/06/2015,1.99,8690
04/06/2015,1.99,3353
05/06/2015,1.91,7233
08/06/2015,1.92,6145
09/06/2015,2,4580
10/06/2015,1.94,14141
11/06/2015,1.9,9200
12/06/2015,1.93,10964
15/06/2015,1.87,5446
16/06/2015,1.9,16268
17/06/2015,1.93,4723
18/06/2015,1.93,5153
19/06/2015,1.84,31382
22/06/2015,1.84,23498
23/06/2015,1.84,37520
24/06/2015,1.88,3372
25/06/2015,1.87,9305
26/06/2015,1.9,19882
30/06/2015,1.86,55284
01/07/2015,1.86,3068
02/07/2015,1.87,3236
03/07/2015,1.9,6885
06/07/2015,1.88,5823
07/07/2015,1.88,10254
08/07/2015,1.87,6152
09/07/2015,1.9,4059
10/07/2015,1.89,8718
13/07/2015,1.85,2300
14/07/2015,1.85,3169
15/07/2015,1.85,5224
16/07/2015,1.85,3213
17/07/2015,1.83,14994
20/07/2015,1.85,6980
21/07/2015,1.85,4278
22/07/2015,1.85,11714
23/07/2015,1.83,11791
24/07/2015,1.83,13000
30/07/2015,1.83,16000
31/07/2015,1.83,5000
03/08/2015,1.8,8269
04/08/2015,1.78,2500
05/08/2015,1.78,6299
06/08/2015,1.77,5892
07/08/2015,1.65,11000
10/08/2015,1.7,15080
11/08/2015,1.7,4980
12/08/2015,1.69,3726
13/08/2015,1.69,8567
14/08/2015,1.69,5000
17/08/2015,1.68,3522
18/08/2015,1.45,27618
19/08/2015,1.44,8400
20/08/2015,1.48,14378
21/08/2015,1.48,4667
24/08/2015,1.46,4935
25/08/2015,1.49,4279
26/08/2015,1.45,11067
27/08/2015,1.47,21396
28/08/2015,1.48,6935
31/08/2015,1.49,3135
01/09/2015,1.49,14037
02/09/2015,1.51,15690
03/09/2015,1.51,10153
04/09/2015,1.42,14187
07/09/2015,1.47,12435
08/09/2015,1.5,10547
09/09/2015,1.51,10169
10/09/2015,1.49,30182
11/09/2015,1.49,10323
14/09/2015,1.49,4131
15/09/2015,1.49,9941
16/09/2015,1.49,3994
